ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamine,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA,Alcohol_num,Amphet_num,Amyl_num,Benzos_num,Caff_num,Cannabis_num,Choc_num,Coke_num,Crack_num,Ecstasy_num,Heroin_num,Ketamine_num,Legalh_num,LSD_num,Meth_num,Mushrooms_num,Nicotine_num,Semer_num,VSA_num,Cannabis_user,Coke_user,Ecstasy_user,Heroin_user,Meth_user,Nicotine_user,drug_severity_score,risk_category
1,1.09449,0.48246,1.16365,-0.09765,1.90725,-1.6042489559198527,-0.23522999393128835,-1.9070320213610836,0.7405846707308918,-0.7783454245840526,-0.40288420486593585,1.0598976585343933,CL3,CL0,CL0,CL0,CL5,CL5,CL3,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL0,CL3,CL6,CL0,CL0,3,0,0,0,5,5,3,0,0,0,0,0,0,0,0,3,6,0,0,1,0,0,0,0,1,25,High
2,1.82213,0.48246,-1.43719,-0.57009,1.90725,-1.3196183084333326,-2.2168215039038417,-1.6931601284733075,0.33490257198602386,-1.2893502990343562,1.0128328077794986,-0.24323351840635835,CL1,CL0,CL0,CL0,CL4,CL2,CL2,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL1,1,0,0,0,4,2,2,0,0,1,0,0,0,0,0,0,4,0,1,1,0,1,0,0,1,15,Moderate
3,0.49788,-0.48246,-0.05921,-0.57009,-0.50212,-0.9225722723587043,-0.8482327701681013,-2.2083615029085997,-0.33367413097393656,0.35355106084823074,0.7673374132992334,0.4542692066677654,CL5,CL0,CL2,CL0,CL0,CL1,CL4,CL0,CL0,CL0,CL0,CL0,CL0,CL1,CL0,CL0,CL6,CL0,CL1,5,0,2,0,0,1,4,0,0,0,0,0,0,1,0,0,6,0,1,1,0,0,0,0,1,20,High
4,1.82213,-0.48246,-2.43591,-0.46841,0.1144,1.5539589089128543,-0.3539037550130431,0.42612927756840413,-0.668206595369311,-1.4089104098807872,-1.0677521021629381,-0.23674697280395773,CL4,CL0,CL0,CL2,CL4,CL5,CL0,CL0,CL0,CL1,CL5,CL0,CL4,CL0,CL3,CL0,CL6,CL0,CL0,4,0,0,2,4,5,0,0,0,1,5,0,4,0,3,0,6,0,0,1,0,1,1,1,1,34,Severe
5,1.82213,-0.48246,0.45468,0.24923,0.126,1.0001267237825018,0.17610497603090786,-0.32476902174182104,-2.1008288678008005,1.0592350478776575,-0.7273318569770624,2.1180425117781616,CL6,CL0,CL0,CL0,CL4,CL2,CL5,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL0,CL0,CL3,CL0,CL0,6,0,0,0,4,2,5,1,0,0,0,1,0,0,0,0,3,0,0,1,1,0,0,0,1,22,High
6,-0.07854,0.48246,1.16365,-0.57009,-0.22166,-0.45822064062032025,1.259581244452227,0.08721233905052488,-0.08026595635894929,1.2036929134095555,-0.34451958349622464,-0.5341883655104603,CL5,CL0,CL0,CL0,CL5,CL4,CL4,CL2,CL0,CL1,CL0,CL0,CL2,CL0,CL0,CL0,CL4,CL0,CL0,5,0,0,0,5,4,4,2,0,1,0,0,2,0,0,0,4,0,0,1,1,1,0,0,1,27,High
7,0.49788,0.48246,1.16365,0.24923,-0.50212,0.2992519932599849,2.0375456248289514,-0.18040158346201798,-0.33200167233426514,0.8181187171550729,-0.06753142512261695,-0.7033556312919212,CL6,CL0,CL0,CL0,CL4,CL4,CL4,CL1,CL0,CL4,CL0,CL0,CL0,CL5,CL0,CL0,CL6,CL0,CL4,6,0,0,0,4,4,4,1,0,4,0,0,0,5,0,0,6,0,4,1,1,1,0,0,1,38,Severe
8,0.49788,-0.48246,-1.43719,-0.46841,1.90725,-0.6783622461477388,0.27226709880257305,0.5816700728887932,0.6391317586855819,-0.7172873922056584,-0.19645378240613423,-0.4817203967093698,CL6,CL0,CL0,CL0,CL6,CL3,CL3,CL0,CL1,CL0,CL0,CL0,CL1,CL0,CL0,CL0,CL2,CL0,CL0,6,0,0,0,6,3,3,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,22,High
9,0.49788,0.48246,-2.43591,-0.57009,0.126,0.36427976078165697,0.20560931214296568,0.6109124004478027,0.5379979660490012,-0.6543194321688955,0.7281108303475118,0.42400989192998406,CL4,CL0,CL0,CL0,CL3,CL4,CL2,CL1,CL0,CL5,CL1,CL0,CL4,CL0,CL0,CL0,CL4,CL0,CL4,4,0,0,0,3,4,2,1,0,5,1,0,4,0,0,0,4,0,4,1,1,1,1,0,1,32,Severe
10,1.82213,-0.48246,1.98437,-0.09765,-0.31685,-1.1380957377419982,-0.4903517675118684,0.04290083373577415,1.0701173043614036,-0.45664722342269604,0.23395199864882552,1.434694570754504,CL2,CL4,CL0,CL2,CL1,CL4,CL4,CL0,CL4,CL0,CL3,CL0,CL0,CL0,CL0,CL0,CL4,CL0,CL0,2,4,0,2,1,4,4,0,4,0,3,0,0,0,0,0,4,0,0,1,0,0,1,0,1,28,High
